Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Subcellular location [CC]	Gene ontology (cellular component)	Gene ontology (biological process)
P25787	PSA2_HUMAN	reviewed	Proteasome subunit alpha type-2 (EC 3.4.25.1) (Macropain subunit C3) (Multicatalytic endopeptidase complex subunit C3) (Proteasome component C3)	PSMA2 HC3 PSC3	Homo sapiens (Human)	234	SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Cytoplasm, P-body {ECO:0000250}. Note=Colocalizes with TRIM5 in the cytoplasmic bodies. {ECO:0000250}.	cytoplasmic mRNA processing body [GO:0000932]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; proteasome complex [GO:0000502]; proteasome core complex [GO:0005839]; proteasome core complex, alpha-subunit complex [GO:0019773]	anaphase-promoting complex-dependent catabolic process [GO:0031145]; antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent [GO:0002479]; Fc-epsilon receptor signaling pathway [GO:0038095]; MAPK cascade [GO:0000165]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle [GO:0051436]; NIK/NF-kappaB signaling [GO:0038061]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition [GO:0051437]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; regulation of cellular amino acid metabolic process [GO:0006521]; regulation of mRNA stability [GO:0043488]; response to virus [GO:0009615]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; T cell receptor signaling pathway [GO:0050852]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]
Q59GM9	Q59GM9_HUMAN	unreviewed	Alpha-1,4 glucan phosphorylase (EC 2.4.1.1) (Fragment)		Homo sapiens (Human)	865			carbohydrate metabolic process [GO:0005975]
Q12931	TRAP1_HUMAN	reviewed	Heat shock protein 75 kDa, mitochondrial (HSP 75) (TNFR-associated protein 1) (Tumor necrosis factor type 1 receptor-associated protein) (TRAP-1)	TRAP1 HSP75	Homo sapiens (Human)	704	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:23564345}. Mitochondrion inner membrane {ECO:0000269|PubMed:23564345}. Mitochondrion matrix {ECO:0000269|PubMed:23564345}.	extracellular exosome [GO:0070062]; lipid particle [GO:0005811]; membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]	chaperone-mediated protein folding [GO:0061077]; negative regulation of cellular respiration [GO:1901856]; negative regulation of intrinsic apoptotic signaling pathway in response to hydrogen peroxide [GO:1903751]; negative regulation of reactive oxygen species biosynthetic process [GO:1903427]; response to stress [GO:0006950]; translational attenuation [GO:0009386]
P02545	LMNA_HUMAN	reviewed	Prelamin-A/C [Cleaved into: Lamin-A/C (70 kDa lamin) (Renal carcinoma antigen NY-REN-32)]	LMNA LMN1	Homo sapiens (Human)	664	SUBCELLULAR LOCATION: Nucleus. Nucleus envelope. Nucleus lamina. Nucleus, nucleoplasm. Note=Farnesylation of prelamin-A/C facilitates nuclear envelope targeting and subsequent cleaveage by ZMPSTE24/FACE1 to remove the farnesyl group produces mature lamin-A/C, which can then be inserted into the nuclear lamina. EMD is required for proper localization of non-farnesylated prelamin-A/C.; SUBCELLULAR LOCATION: Isoform C: Nucleus speckle {ECO:0000269|PubMed:16061563}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular matrix [GO:0031012]; intermediate filament [GO:0005882]; lamin filament [GO:0005638]; nuclear envelope [GO:0005635]; nuclear lamina [GO:0005652]; nuclear matrix [GO:0016363]; nuclear membrane [GO:0031965]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]	cellular response to hypoxia [GO:0071456]; establishment or maintenance of microtubule cytoskeleton polarity [GO:0030951]; IRE1-mediated unfolded protein response [GO:0036498]; mitotic nuclear envelope disassembly [GO:0007077]; mitotic nuclear envelope reassembly [GO:0007084]; muscle organ development [GO:0007517]; negative regulation of adipose tissue development [GO:1904178]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; negative regulation of release of cytochrome c from mitochondria [GO:0090201]; positive regulation of cell aging [GO:0090343]; positive regulation of osteoblast differentiation [GO:0045669]; protein localization to nucleus [GO:0034504]; regulation of cell migration [GO:0030334]; regulation of protein localization to nucleus [GO:1900180]; response to mechanical stimulus [GO:0009612]; spermatogenesis [GO:0007283]; sterol regulatory element binding protein import into nucleus [GO:0035105]; ventricular cardiac muscle cell development [GO:0055015]
Q5URX0	Q5URX0_HUMAN	unreviewed	Beta-hexosaminidase subunit beta (ENC-1AS) (Epididymis luminal protein 248) (Epididymis secretory protein Li 111)	HEL-248 HEL-S-111 HEXB	Homo sapiens (Human)	331			carbohydrate metabolic process [GO:0005975]
Q53G25	Q53G25_HUMAN	unreviewed	Ribosomal protein S5 variant (Fragment)		Homo sapiens (Human)	204		small ribosomal subunit [GO:0015935]	translation [GO:0006412]
P62136	PP1A_HUMAN	reviewed	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit (PP-1A) (EC 3.1.3.16)	PPP1CA PPP1A	Homo sapiens (Human)	330	SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Nucleus, nucleoplasm. Nucleus, nucleolus. Note=Primarily nuclear and largely excluded from the nucleolus. Highly mobile in cells and can be relocalized through interaction with targeting subunits. NOM1 plays a role in targeting this protein to the nucleolus. In the presence of PPP1R8 relocalizes from the nucleus to nuclear speckles.	cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; extracellular exosome [GO:0070062]; glycogen granule [GO:0042587]; MLL5-L complex [GO:0070688]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; protein phosphatase type 1 complex [GO:0000164]; PTW/PP1 phosphatase complex [GO:0072357]	beta-catenin destruction complex disassembly [GO:1904886]; branching morphogenesis of an epithelial tube [GO:0048754]; cell cycle [GO:0007049]; cell division [GO:0051301]; circadian regulation of gene expression [GO:0032922]; dephosphorylation [GO:0016311]; entrainment of circadian clock by photoperiod [GO:0043153]; glycogen metabolic process [GO:0005977]; lung development [GO:0030324]; negative regulation of protein binding [GO:0032091]; positive regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001241]; protein dephosphorylation [GO:0006470]; regulation of canonical Wnt signaling pathway [GO:0060828]; regulation of circadian rhythm [GO:0042752]; regulation of glycogen biosynthetic process [GO:0005979]; regulation of glycogen catabolic process [GO:0005981]; regulation of translational initiation by eIF2 alpha dephosphorylation [GO:0036496]
P63000	RAC1_HUMAN	reviewed	Ras-related C3 botulinum toxin substrate 1 (Cell migration-inducing gene 5 protein) (Ras-like protein TC25) (p21-Rac1)	RAC1 TC25 MIG5	Homo sapiens (Human)	192	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Lipid-anchor {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Melanosome {ECO:0000269|PubMed:17081065, ECO:0000269|PubMed:19948726, ECO:0000269|PubMed:21693584}. Cytoplasm {ECO:0000250}. Note=Inner surface of plasma membrane possibly with attachment requiring prenylation of the C-terminal cysteine (By similarity). Identified by mass spectrometry in melanosome fractions from stage I to stage IV. Found in the ruffled border (a late endosomal-like compartment in the plasma membrane) of bone-resorbing osteoclasts (By similarity). {ECO:0000250}.	cytoplasm [GO:0005737]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; early endosome membrane [GO:0031901]; endoplasmic reticulum membrane [GO:0005789]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extrinsic component of plasma membrane [GO:0019897]; focal adhesion [GO:0005925]; Golgi membrane [GO:0000139]; lamellipodium [GO:0030027]; melanosome [GO:0042470]; membrane [GO:0016020]; nucleus [GO:0005634]; phagocytic cup [GO:0001891]; plasma membrane [GO:0005886]; ruffle membrane [GO:0032587]; trans-Golgi network [GO:0005802]	actin cytoskeleton organization [GO:0030036]; actin filament polymerization [GO:0030041]; anatomical structure arrangement [GO:0048532]; anatomical structure morphogenesis [GO:0009653]; auditory receptor cell morphogenesis [GO:0002093]; axon guidance [GO:0007411]; blood coagulation [GO:0007596]; bone resorption [GO:0045453]; cell adhesion [GO:0007155]; cell-cell junction organization [GO:0045216]; cell-matrix adhesion [GO:0007160]; cell motility [GO:0048870]; cell proliferation [GO:0008283]; cellular response to mechanical stimulus [GO:0071260]; cerebral cortex GABAergic interneuron development [GO:0021894]; cerebral cortex radially oriented cell migration [GO:0021799]; cochlea morphogenesis [GO:0090103]; dendrite morphogenesis [GO:0048813]; dopaminergic neuron differentiation [GO:0071542]; embryonic olfactory bulb interneuron precursor migration [GO:0021831]; engulfment of apoptotic cell [GO:0043652]; ephrin receptor signaling pathway [GO:0048013]; epithelial cell morphogenesis [GO:0003382]; Fc-epsilon receptor signaling pathway [GO:0038095]; Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; G-protein coupled receptor signaling pathway [GO:0007186]; homeostasis of number of cells within a tissue [GO:0048873]; hyperosmotic response [GO:0006972]; inflammatory response [GO:0006954]; intracellular signal transduction [GO:0035556]; lamellipodium assembly [GO:0030032]; localization within membrane [GO:0051668]; mast cell chemotaxis [GO:0002551]; movement of cell or subcellular component [GO:0006928]; negative regulation of interleukin-23 production [GO:0032707]; negative regulation of receptor-mediated endocytosis [GO:0048261]; platelet activation [GO:0030168]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of apoptotic process [GO:0043065]; positive regulation of cell-substrate adhesion [GO:0010811]; positive regulation of DNA replication [GO:0045740]; positive regulation of focal adhesion assembly [GO:0051894]; positive regulation of lamellipodium assembly [GO:0010592]; positive regulation of neutrophil chemotaxis [GO:0090023]; positive regulation of phosphatidylinositol 3-kinase activity [GO:0043552]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of Rho protein signal transduction [GO:0035025]; positive regulation of stress fiber assembly [GO:0051496]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; protein localization to plasma membrane [GO:0072659]; regulation of cell migration [GO:0030334]; regulation of cell size [GO:0008361]; regulation of defense response to virus by virus [GO:0050690]; regulation of fibroblast migration [GO:0010762]; regulation of hydrogen peroxide metabolic process [GO:0010310]; regulation of neuron maturation [GO:0014041]; regulation of respiratory burst [GO:0060263]; regulation of small GTPase mediated signal transduction [GO:0051056]; response to wounding [GO:0009611]; ruffle assembly [GO:0097178]; ruffle organization [GO:0031529]; semaphorin-plexin signaling pathway [GO:0071526]; small GTPase mediated signal transduction [GO:0007264]; substrate adhesion-dependent cell spreading [GO:0034446]; synaptic transmission, GABAergic [GO:0051932]; T cell costimulation [GO:0031295]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]
A8K1J3	A8K1J3_HUMAN	unreviewed	cDNA FLJ78534, highly similar to Homo sapiens RAD23 homolog A (S. cerevisiae), mRNA		Homo sapiens (Human)	362		nucleus [GO:0005634]	nucleotide-excision repair [GO:0006289]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]
Q5H928	Q5H928_HUMAN	unreviewed	3-hydroxyacyl-CoA dehydrogenase type-2 (Hydroxysteroid (17-beta) dehydrogenase 10)	HSD17B10 RP3-339A18.2-004	Homo sapiens (Human)	169			
Q53SW9	Q53SW9_HUMAN	unreviewed	Putative uncharacterized protein PTD004 (Fragment)	PTD004	Homo sapiens (Human)	183			
Q8WVY7	UBCP1_HUMAN	reviewed	Ubiquitin-like domain-containing CTD phosphatase 1 (EC 3.1.3.16) (Nuclear proteasome inhibitor UBLCP1)	UBLCP1	Homo sapiens (Human)	318	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15883030, ECO:0000269|PubMed:21949367}. Note=Colocalizes with nuclear proteasomes.	nucleolus [GO:0005730]; nucleus [GO:0005634]	protein dephosphorylation [GO:0006470]
Q9Y696	CLIC4_HUMAN	reviewed	Chloride intracellular channel protein 4 (Intracellular chloride ion channel protein p64H1)	CLIC4	Homo sapiens (Human)	253	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome. Cytoplasmic vesicle membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}. Nucleus matrix. Cell membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}. Mitochondrion. Cell junction. Note=Colocalized with AKAP9 at the centrosome and midbody. Exists both as soluble cytoplasmic protein and as membrane protein with probably a single transmembrane domain. Present in an intracellular vesicular compartment that likely represent trans-Golgi network vesicles.	actin cytoskeleton [GO:0015629]; apical part of cell [GO:0045177]; cell-cell junction [GO:0005911]; cell surface [GO:0009986]; centrosome [GO:0005813]; chloride channel complex [GO:0034707]; cytoplasm [GO:0005737]; cytoplasmic vesicle membrane [GO:0030659]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; intracellular [GO:0005622]; microvillus [GO:0005902]; midbody [GO:0030496]; mitochondrion [GO:0005739]; nuclear matrix [GO:0016363]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]	angiogenesis [GO:0001525]; apoptotic process [GO:0006915]; branching morphogenesis of an epithelial tube [GO:0048754]; cell differentiation [GO:0030154]; cellular response to calcium ion [GO:0071277]; chloride transport [GO:0006821]; endothelial cell morphogenesis [GO:0001886]; establishment or maintenance of apical/basal cell polarity [GO:0035088]; fertilization [GO:0009566]; keratinocyte differentiation [GO:0030216]; multicellular organism growth [GO:0035264]; negative regulation of cell migration [GO:0030336]; regulation of cytoskeleton organization [GO:0051493]; retina vasculature morphogenesis in camera-type eye [GO:0061299]; vacuolar acidification [GO:0007035]
Q93009	UBP7_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 7 (EC 3.4.19.12) (Deubiquitinating enzyme 7) (Herpesvirus-associated ubiquitin-specific protease) (Ubiquitin thioesterase 7) (Ubiquitin-specific-processing protease 7)	USP7 HAUSP	Homo sapiens (Human)	1102	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:23973222, ECO:0000269|PubMed:25283148}. Cytoplasm {ECO:0000269|PubMed:25283148}. Nucleus, PML body {ECO:0000269|PubMed:9034339}. Note=Present in a minority of ND10 nuclear bodies. Association with ICP0/VMW110 at early times of infection leads to an increased proportion of USP7-containing ND10. Colocalizes with ATXN1 in the nucleus. Colocalized with DAXX in speckled structures. Colocalized with PML and PTEN in promyelocytic leukemia protein (PML) nuclear bodies.	cytosol [GO:0005829]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PML body [GO:0016605]	maintenance of DNA methylation [GO:0010216]; multicellular organism development [GO:0007275]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; protein deubiquitination [GO:0016579]; protein stabilization [GO:0050821]; regulation of sequence-specific DNA binding transcription factor activity [GO:0051090]; regulation of telomere capping [GO:1904353]; transcription-coupled nucleotide-excision repair [GO:0006283]; ubiquitin-dependent protein catabolic process [GO:0006511]; viral process [GO:0016032]
Q7Z5Y0	Q7Z5Y0_HUMAN	unreviewed	EIF4B protein (Fragment)	EIF4B	Homo sapiens (Human)	349			eukaryotic translation initiation factor 4F complex assembly [GO:0097010]; translational initiation [GO:0006413]
P05387	RLA2_HUMAN	reviewed	60S acidic ribosomal protein P2 (Renal carcinoma antigen NY-REN-44)	RPLP2 D11S2243E RPP2	Homo sapiens (Human)	115		cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; membrane [GO:0016020]; preribosome, large subunit precursor [GO:0030687]	cytoplasmic translation [GO:0002181]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational elongation [GO:0006414]; translational initiation [GO:0006413]; viral transcription [GO:0019083]
Q96EL6	Q96EL6_HUMAN	unreviewed	Putative uncharacterized protein (Fragment)		Homo sapiens (Human)	556	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|SAAS:SAAS00556307}.	clathrin adaptor complex [GO:0030131]	intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]
P42771	CDN2A_HUMAN	reviewed	Cyclin-dependent kinase inhibitor 2A (Cyclin-dependent kinase 4 inhibitor A) (CDK4I) (Multiple tumor suppressor 1) (MTS-1) (p16-INK4a) (p16-INK4) (p16INK4A)	CDKN2A CDKN2 MTS1	Homo sapiens (Human)	156	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17658461}. Nucleus {ECO:0000269|PubMed:17658461}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; senescence-associated heterochromatin focus [GO:0035985]	cell cycle arrest [GO:0007050]; cellular senescence [GO:0090398]; G1/S transition of mitotic cell cycle [GO:0000082]; negative regulation of cell growth [GO:0030308]; negative regulation of cell-matrix adhesion [GO:0001953]; negative regulation of cell proliferation [GO:0008285]; negative regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0045736]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of phosphorylation [GO:0042326]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of cellular senescence [GO:2000774]; positive regulation of macrophage apoptotic process [GO:2000111]; positive regulation of smooth muscle cell apoptotic process [GO:0034393]; Ras protein signal transduction [GO:0007265]; replicative senescence [GO:0090399]; senescence-associated heterochromatin focus assembly [GO:0035986]
